feeder,report,offset_bytes,n_ch,n_samples
45,2,0,6,128
45,3,3072,6,128
45,4,6144,6,128
45,5,9216,6,128
45,6,12288,6,128
45,7,15360,6,128
45,8,18432,6,128
45,9,21504,6,128
45,10,24576,6,128
45,11,27648,6,128
45,12,30720,6,128
45,13,33792,6,128
45,14,36864,6,128
10,9,39936,6,128
10,10,43008,6,128
10,11,46080,6,128
10,12,49152,6,128
10,13,52224,6,128
10,14,55296,6,128
10,15,58368,6,128
45,15,61440,6,128
10,16,64512,6,128
45,16,67584,6,128
10,17,70656,6,128
45,17,73728,6,128
8,12,76800,6,128
8,13,79872,6,128
8,14,82944,6,128
8,15,86016,6,128
8,16,89088,6,128
8,17,92160,6,128
8,18,95232,6,128
10,18,98304,6,128
45,18,101376,6,128
8,19,104448,6,128
10,19,107520,6,128
22,13,110592,6,128
22,14,113664,6,128
22,15,116736,6,128
22,16,119808,6,128
22,17,122880,6,128
22,18,125952,6,128
22,19,129024,6,128
45,19,132096,6,128
8,20,135168,6,128
10,20,138240,6,128
22,20,141312,6,128
45,20,144384,6,128
8,21,147456,6,128
10,21,150528,6,128
22,21,153600,6,128
45,21,156672,6,128
8,22,159744,6,128
10,22,162816,6,128
22,22,165888,6,128
45,22,168960,6,128
8,23,172032,6,128
10,23,175104,6,128
22,23,178176,6,128
45,23,181248,6,128
8,24,184320,6,128
10,24,187392,6,128
22,24,190464,6,128
8,25,193536,6,128
10,25,196608,6,128
22,25,199680,6,128
35,19,202752,6,128
35,20,205824,6,128
35,21,208896,6,128
35,22,211968,6,128
35,23,215040,6,128
35,24,218112,6,128
35,25,221184,6,128
8,26,224256,6,128
10,26,227328,6,128
22,26,230400,6,128
35,26,233472,6,128
8,27,236544,6,128
10,27,239616,6,128
22,27,242688,6,128
35,27,245760,6,128
8,28,248832,6,128
10,28,251904,6,128
22,28,254976,6,128
35,28,258048,6,128
8,29,261120,6,128
10,29,264192,6,128
22,29,267264,6,128
35,29,270336,6,128
8,30,273408,6,128
10,30,276480,6,128
22,30,279552,6,128
35,30,282624,6,128
8,31,285696,6,128
10,31,288768,6,128
22,31,291840,6,128
35,31,294912,6,128
8,32,297984,6,128
10,32,301056,6,128
22,32,304128,6,128
35,32,307200,6,128
42,26,310272,6,128
42,27,313344,6,128
42,28,316416,6,128
42,29,319488,6,128
42,30,322560,6,128
42,31,325632,6,128
42,32,328704,6,128
8,33,331776,6,128
22,33,334848,6,128
35,33,337920,6,128
42,33,340992,6,128
22,34,344064,6,128
35,34,347136,6,128
42,34,350208,6,128
22,35,353280,6,128
35,35,356352,6,128
42,35,359424,6,128
22,36,362496,6,128
35,36,365568,6,128
42,36,368640,6,128
35,37,371712,6,128
42,37,374784,6,128
35,38,377856,6,128
42,38,380928,6,128
28,33,384000,6,128
28,34,387072,6,128
28,35,390144,6,128
28,36,393216,6,128
28,37,396288,6,128
28,38,399360,6,128
28,39,402432,6,128
35,39,405504,6,128
42,39,408576,6,128
28,40,411648,6,128
35,40,414720,6,128
42,40,417792,6,128
28,41,420864,6,128
42,41,423936,6,128
28,42,427008,6,128
42,42,430080,6,128
28,43,433152,6,128
42,43,436224,6,128
28,44,439296,6,128
42,44,442368,6,128
28,45,445440,6,128
42,45,448512,6,128
28,46,451584,6,128
42,46,454656,6,128
28,47,457728,6,128
42,47,460800,6,128
6,42,463872,6,128
6,43,466944,6,128
6,44,470016,6,128
6,45,473088,6,128
6,46,476160,6,128
6,47,479232,6,128
6,48,482304,6,128
28,48,485376,6,128
61,42,488448,6,128
61,43,491520,6,128
61,44,494592,6,128
61,45,497664,6,128
61,46,500736,6,128
61,47,503808,6,128
61,48,506880,6,128
6,49,509952,6,128
28,49,513024,6,128
61,49,516096,6,128
6,50,519168,6,128
28,50,522240,6,128
61,50,525312,6,128
6,51,528384,6,128
28,51,531456,6,128
61,51,534528,6,128
6,52,537600,6,128
28,52,540672,6,128
61,52,543744,6,128
6,53,546816,6,128
28,53,549888,6,128
61,53,552960,6,128
6,54,556032,6,128
28,54,559104,6,128
61,54,562176,6,128
69,48,565248,6,128
69,49,568320,6,128
69,50,571392,6,128
69,51,574464,6,128
69,52,577536,6,128
69,53,580608,6,128
69,54,583680,6,128
6,55,586752,6,128
31,49,589824,6,128
31,50,592896,6,128
31,51,595968,6,128
31,52,599040,6,128
31,53,602112,6,128
31,54,605184,6,128
31,55,608256,6,128
61,55,611328,6,128
69,55,614400,6,128
6,56,617472,6,128
31,56,620544,6,128
61,56,623616,6,128
69,56,626688,6,128
6,57,629760,6,128
31,57,632832,6,128
61,57,635904,6,128
69,57,638976,6,128
6,58,642048,6,128
31,58,645120,6,128
61,58,648192,6,128
69,58,651264,6,128
6,59,654336,6,128
31,59,657408,6,128
61,59,660480,6,128
69,59,663552,6,128
1,54,666624,6,128
1,55,669696,6,128
1,56,672768,6,128
1,57,675840,6,128
1,58,678912,6,128
1,59,681984,6,128
1,60,685056,6,128
6,60,688128,6,128
31,60,691200,6,128
61,60,694272,6,128
69,60,697344,6,128
1,61,700416,6,128
6,61,703488,6,128
31,61,706560,6,128
61,61,709632,6,128
69,61,712704,6,128
1,62,715776,6,128
6,62,718848,6,128
31,62,721920,6,128
61,62,724992,6,128
69,62,728064,6,128
1,63,731136,6,128
6,63,734208,6,128
31,63,737280,6,128
61,63,740352,6,128
69,63,743424,6,128
1,64,746496,6,128
31,64,749568,6,128
61,64,752640,6,128
69,64,755712,6,128
1,65,758784,6,128
31,65,761856,6,128
61,65,764928,6,128
69,65,768000,6,128
1,66,771072,6,128
31,66,774144,6,128
69,66,777216,6,128
1,67,780288,6,128
31,67,783360,6,128
69,67,786432,6,128
1,68,789504,6,128
26,62,792576,6,128
26,63,795648,6,128
26,64,798720,6,128
26,65,801792,6,128
26,66,804864,6,128
26,67,807936,6,128
26,68,811008,6,128
31,68,814080,6,128
69,68,817152,6,128
1,69,820224,6,128
26,69,823296,6,128
31,69,826368,6,128
69,69,829440,6,128
1,70,832512,6,128
26,70,835584,6,128
31,70,838656,6,128
69,70,841728,6,128
1,71,844800,6,128
26,71,847872,6,128
31,71,850944,6,128
69,71,854016,6,128
1,72,857088,6,128
26,72,860160,6,128
31,72,863232,6,128
1,73,866304,6,128
26,73,869376,6,128
1,74,872448,6,128
26,74,875520,6,128
1,75,878592,6,128
26,75,881664,6,128
34,69,884736,6,128
34,70,887808,6,128
34,71,890880,6,128
34,72,893952,6,128
34,73,897024,6,128
34,74,900096,6,128
34,75,903168,6,128
1,76,906240,6,128
26,76,909312,6,128
34,76,912384,6,128
1,77,915456,6,128
26,77,918528,6,128
34,77,921600,6,128
26,78,924672,6,128
34,78,927744,6,128
26,79,930816,6,128
34,79,933888,6,128
26,80,936960,6,128
34,80,940032,6,128
26,81,943104,6,128
34,81,946176,6,128
26,82,949248,6,128
34,82,952320,6,128
26,83,955392,6,128
34,83,958464,6,128
26,84,961536,6,128
34,84,964608,6,128
26,85,967680,6,128
34,85,970752,6,128
34,86,973824,6,128
77,80,976896,6,128
77,81,979968,6,128
77,82,983040,6,128
77,83,986112,6,128
77,84,989184,6,128
77,85,992256,6,128
77,86,995328,6,128
34,87,998400,6,128
77,87,1001472,6,128
34,88,1004544,6,128
77,88,1007616,6,128
7,83,1010688,6,128
7,84,1013760,6,128
7,85,1016832,6,128
7,86,1019904,6,128
7,87,1022976,6,128
7,88,1026048,6,128
7,89,1029120,6,128
34,89,1032192,6,128
77,89,1035264,6,128
7,90,1038336,6,128
34,90,1041408,6,128
65,84,1044480,6,128
65,85,1047552,6,128
65,86,1050624,6,128
65,87,1053696,6,128
65,88,1056768,6,128
65,89,1059840,6,128
65,90,1062912,6,128
77,90,1065984,6,128
7,91,1069056,6,128
34,91,1072128,6,128
65,91,1075200,6,128
77,91,1078272,6,128
7,92,1081344,6,128
34,92,1084416,6,128
65,92,1087488,6,128
77,92,1090560,6,128
7,93,1093632,6,128
65,93,1096704,6,128
77,93,1099776,6,128
7,94,1102848,6,128
65,94,1105920,6,128
77,94,1108992,6,128
7,95,1112064,6,128
37,89,1115136,6,128
37,90,1118208,6,128
37,91,1121280,6,128
37,92,1124352,6,128
