feeder,report,offset_bytes,n_ch,n_samples
0,233,0,6,128
0,234,3072,6,128
0,235,6144,6,128
0,236,9216,6,128
0,237,12288,6,128
0,238,15360,6,128
0,239,18432,6,128
0,240,21504,6,128
0,241,24576,6,128
0,242,27648,6,128
0,243,30720,6,128
0,244,33792,6,128
0,245,36864,6,128
0,246,39936,6,128
0,247,43008,6,128
0,248,46080,6,128
0,249,49152,6,128
0,250,52224,6,128
0,251,55296,6,128
0,252,58368,6,128
0,253,61440,6,128
0,254,64512,6,128
0,255,67584,6,128
0,256,70656,6,128
0,257,73728,6,128
0,258,76800,6,128
0,259,79872,6,128
0,260,82944,6,128
0,261,86016,6,128
0,262,89088,6,128
0,263,92160,6,128
0,264,95232,6,128
0,265,98304,6,128
0,337,101376,6,128
0,338,104448,6,128
0,339,107520,6,128
0,340,110592,6,128
0,341,113664,6,128
0,342,116736,6,128
0,343,119808,6,128
0,344,122880,6,128
0,345,125952,6,128
0,346,129024,6,128
0,347,132096,6,128
0,348,135168,6,128
0,349,138240,6,128
0,350,141312,6,128
0,351,144384,6,128
0,352,147456,6,128
0,353,150528,6,128
0,354,153600,6,128
0,355,156672,6,128
0,356,159744,6,128
0,357,162816,6,128
0,358,165888,6,128
0,359,168960,6,128
0,360,172032,6,128
0,361,175104,6,128
0,362,178176,6,128
0,363,181248,6,128
0,364,184320,6,128
0,365,187392,6,128
0,366,190464,6,128
0,367,193536,6,128
0,368,196608,6,128
0,369,199680,6,128
0,370,202752,6,128
0,371,205824,6,128
0,372,208896,6,128
0,373,211968,6,128
0,374,215040,6,128
0,375,218112,6,128
0,376,221184,6,128
0,377,224256,6,128
0,378,227328,6,128
0,379,230400,6,128
0,380,233472,6,128
0,381,236544,6,128
0,382,239616,6,128
0,383,242688,6,128
0,384,245760,6,128
0,385,248832,6,128
0,386,251904,6,128
0,387,254976,6,128
0,388,258048,6,128
0,389,261120,6,128
0,390,264192,6,128
0,391,267264,6,128
0,392,270336,6,128
0,626,273408,6,128
0,627,276480,6,128
0,628,279552,6,128
0,629,282624,6,128
0,630,285696,6,128
0,631,288768,6,128
0,632,291840,6,128
0,633,294912,6,128
0,634,297984,6,128
0,635,301056,6,128
0,636,304128,6,128
0,637,307200,6,128
0,638,310272,6,128
0,639,313344,6,128
0,640,316416,6,128
0,641,319488,6,128
0,642,322560,6,128
0,643,325632,6,128
0,644,328704,6,128
0,645,331776,6,128
0,646,334848,6,128
0,647,337920,6,128
0,648,340992,6,128
0,649,344064,6,128
0,650,347136,6,128
0,651,350208,6,128
0,652,353280,6,128
0,653,356352,6,128
0,654,359424,6,128
0,655,362496,6,128
0,656,365568,6,128
0,657,368640,6,128
0,658,371712,6,128
0,659,374784,6,128
0,660,377856,6,128
0,661,380928,6,128
0,662,384000,6,128
0,663,387072,6,128
0,664,390144,6,128
0,665,393216,6,128
0,666,396288,6,128
0,667,399360,6,128
0,668,402432,6,128
0,669,405504,6,128
0,670,408576,6,128
0,671,411648,6,128
0,672,414720,6,128
0,673,417792,6,128
0,674,420864,6,128
0,675,423936,6,128
0,676,427008,6,128
0,677,430080,6,128
0,678,433152,6,128
0,679,436224,6,128
0,680,439296,6,128
0,681,442368,6,128
0,682,445440,6,128
0,683,448512,6,128
0,684,451584,6,128
0,685,454656,6,128
0,686,457728,6,128
0,687,460800,6,128
0,688,463872,6,128
0,689,466944,6,128
0,690,470016,6,128
0,691,473088,6,128
0,692,476160,6,128
0,693,479232,6,128
0,694,482304,6,128
0,695,485376,6,128
0,696,488448,6,128
0,697,491520,6,128
0,698,494592,6,128
0,699,497664,6,128
0,700,500736,6,128
0,701,503808,6,128
0,702,506880,6,128
0,703,509952,6,128
0,704,513024,6,128
0,705,516096,6,128
0,706,519168,6,128
0,707,522240,6,128
0,708,525312,6,128
0,709,528384,6,128
0,710,531456,6,128
0,711,534528,6,128
0,712,537600,6,128
0,713,540672,6,128
0,714,543744,6,128
0,715,546816,6,128
0,716,549888,6,128
0,717,552960,6,128
0,718,556032,6,128
